Ensembl ID	Uniprot IDs	Length	Symbol
ENSG00000006042	C9J3Y0_HUMAN C9J6Q8_HUMAN J3QLG7_HUMAN J3QS57_HUMAN J9JIC8_HUMAN TMM98_HUMAN	14463.000000000007	TMEM98
ENSG00000006047	I3L2D6_HUMAN YBOX2_HUMAN	4720.999999999999	YBX2
ENSG00000006059	KT33A_HUMAN	6364.000000000004	KRT33A
ENSG00000006062	A0A087WXF1_HUMAN M3K14_HUMAN	83961.00000000007	MAP3K14
ENSG00000006071	E9PK50_HUMAN H0YDH8_HUMAN H0YE33_HUMAN H0YEA9_HUMAN H0YF51_HUMAN ABCC8_HUMAN	53920.00000000002	ABCC8
ENSG00000006116	CCG3_HUMAN	12696.999999999998	CACNG3
ENSG00000006118	F5H765_HUMAN H0YFB3_HUMAN H0YFQ1_HUMAN H0YFQ2_HUMAN T132A_HUMAN	107249.00000000003	TMEM132A
ENSG00000006125	A0A087WU93_HUMAN A0A087WXS3_HUMAN A0A087WYD1_HUMAN A0A087WZQ6_HUMAN A0A087X253_HUMAN K7EJ01_HUMAN K7EJX1_HUMAN K7EKZ5_HUMAN K7EMN7_HUMAN K7EN71_HUMAN K7ERB2_HUMAN AP2B1_HUMAN	8565.000000000004	AP2B1
ENSG00000006128	TKN1_HUMAN	148363.9999999999	TAC1
ENSG00000006194	B4DI05_HUMAN I3L0N0_HUMAN I3L2X3_HUMAN I3L393_HUMAN I3L4C4_HUMAN I3L538_HUMAN I3NI39_HUMAN ZN263_HUMAN	12591.000000000007	ZNF263
ENSG00000006210	H3BSR6_HUMAN H3BV86_HUMAN J3QRA1_HUMAN X3CL1_HUMAN	37601.99999999996	CX3CL1
ENSG00000006282	A0A0U1RRL8_HUMAN D6R947_HUMAN D6RC70_HUMAN D6RIU6_HUMAN H0Y9M1_HUMAN H0Y9W3_HUMAN SPT20_HUMAN	66407.0	SPATA20
ENSG00000006283	A0A0B4J1X2_HUMAN H0YAN0_HUMAN I3L2W8_HUMAN CAC1G_HUMAN	12794.999999999996	CACNA1G
ENSG00000006327	I3L0S4_HUMAN I3L1J9_HUMAN I3L3P4_HUMAN I3L539_HUMAN TNR12_HUMAN	5492.000000000006	TNFRSF12A
ENSG00000006377	G3V471_HUMAN DLX6_HUMAN	3938.9999999999995	DLX6
ENSG00000006432	A0A087WW79_HUMAN G3V347_HUMAN G3V4P9_HUMAN J3KPI6_HUMAN M3K9_HUMAN	84641.9999999998	MAP3K9
ENSG00000006451	C9JPE8_HUMAN H7C3P7_HUMAN RALA_HUMAN		RALA
ENSG00000006453	BI2L1_HUMAN	92290.00000000001	BAIAP2L1
ENSG00000006459	H9KVD6_HUMAN KDM7A_HUMAN	109417.99999999993	KDM7A
ENSG00000006468	B5MCT2_HUMAN C9J0B7_HUMAN C9J4P4_HUMAN C9J9L1_HUMAN C9JQH6_HUMAN C9JX69_HUMAN F8WEH6_HUMAN ETV1_HUMAN	104056.00000000004	ETV1
ENSG00000006530	E9PC15_HUMAN E9PG39_HUMAN F8WDD1_HUMAN AGK_HUMAN	100198.00000000007	AGK
ENSG00000006534	A0A087WTE0_HUMAN A0A087WU54_HUMAN A0A087WUF8_HUMAN A0A087X192_HUMAN A0A087X2D4_HUMAN AL3B1_HUMAN Q9BUJ8_HUMAN	21556.0	ALDH3B1
ENSG00000006555	H0Y486_HUMAN TTC22_HUMAN	20705.00000000002	TTC22
ENSG00000006576	PHTF2_HUMAN	20363.999999999996	PHTF2
ENSG00000006606	CCL26_HUMAN	158712.00000000003	CCL26
ENSG00000006607	C9JVQ5_HUMAN C9JWM9_HUMAN H7C210_HUMAN H7C3E4_HUMAN H7C3M7_HUMAN H7C447_HUMAN FARP2_HUMAN	50522.000000000015	FARP2
ENSG00000006611	E9PNW1_HUMAN USH1C_HUMAN	138599.00000000003	USH1C
ENSG00000006625	A0A0B4J1Y4_HUMAN B8ZZK2_HUMAN H7BZK5_HUMAN GGCT_HUMAN	33325.99999999997	GGCT
ENSG00000006634	B4DXK0_HUMAN F8WF77_HUMAN DBF4A_HUMAN	8224.000000000007	DBF4
ENSG00000006638	K7ER80_HUMAN TA2R_HUMAN	58050.000000000015	TBXA2R
ENSG00000006652	C9J311_HUMAN C9J7U6_HUMAN C9JA65_HUMAN C9JFH1_HUMAN C9JK78_HUMAN C9JLG5_HUMAN C9JNM6_HUMAN E9PMY4_HUMAN H0YEE3_HUMAN IFRD1_HUMAN		IFRD1
ENSG00000006659	M0R163_HUMAN PPL13_HUMAN	139182.0	LGALS14
ENSG00000006695	H7C101_HUMAN J3KRW4_HUMAN J3KSJ3_HUMAN COX10_HUMAN	5139.0	COX10
ENSG00000006704	E9PFE2_HUMAN H7C4Q8_HUMAN GT2D1_HUMAN		GTF2IRD1
ENSG00000006712	B4DGJ5_HUMAN M0QYC7_HUMAN PAF1_HUMAN	148814.99999999997	PAF1
ENSG00000006715	C9J2U9_HUMAN C9J3F8_HUMAN C9JU58_HUMAN C9JZ11_HUMAN H7BXH3_HUMAN H7BZX6_HUMAN H7C0K2_HUMAN VPS41_HUMAN		VPS41
ENSG00000006740	A0A087WZS3_HUMAN E7ERK8_HUMAN F5H6L3_HUMAN J3KRS3_HUMAN J3QQU7_HUMAN K7EK86_HUMAN RHG44_HUMAN	209432.00000000012	ARHGAP44
ENSG00000006744	E7ES68_HUMAN G5E9D5_HUMAN H7C2I4_HUMAN J3QL08_HUMAN J3QLK4_HUMAN J3QQT1_HUMAN J3QRS2_HUMAN RNZ2_HUMAN V9GYS7_HUMAN V9GYU5_HUMAN V9GZ72_HUMAN	89603.00000000007	ELAC2
ENSG00000006747	C9JGB6_HUMAN E5RHN8_HUMAN E5RHX6_HUMAN F8WBX5_HUMAN ADSV_HUMAN	25796.999999999985	SCIN
ENSG00000006756	H0YMY1_HUMAN H7C327_HUMAN ARSD_HUMAN	29493.000000000007	ARSD
ENSG00000006757	C9IZF6_HUMAN PLPL4_HUMAN	25382.00000000002	PNPLA4
ENSG00000006788	MYH13_HUMAN	100104.99999999994	MYH13
ENSG00000006831	PAQR2_HUMAN	72265.99999999999	ADIPOR2
ENSG00000006837	B4DX41_HUMAN E5RFT9_HUMAN E5RGK4_HUMAN E5RI54_HUMAN E7ET86_HUMAN H0YAP8_HUMAN H0YB17_HUMAN CDKL3_HUMAN	259452.99999999977	CDKL3
ENSG00000007001	UPP2_HUMAN	84698.00000000001	UPP2
ENSG00000007038	I3L0U2_HUMAN I3L2G7_HUMAN I3L3C7_HUMAN I3L3F7_HUMAN TEST_HUMAN	225995.99999999945	PRSS21
ENSG00000007047	K7EK17_HUMAN K7EKG8_HUMAN K7EN95_HUMAN Q6IPE9_HUMAN Q96GZ3_HUMAN MARK4_HUMAN	9124.999999999987	MARK4
ENSG00000007062	D6RBI0_HUMAN D6RCC3_HUMAN D6RIF3_HUMAN H0Y9D4_HUMAN H0Y9M7_HUMAN H0Y9Q5_HUMAN PROM1_HUMAN	10975.999999999993	PROM1
ENSG00000007080	M0R2F5_HUMAN CC124_HUMAN		CCDC124
ENSG00000007129	A0A0B4J1W4_HUMAN A0A0J9YX60_HUMAN CEA21_HUMAN	92406.00000000009	CEACAM21
ENSG00000007168	I3L384_HUMAN I3L3N5_HUMAN I3L495_HUMAN LIS1_HUMAN	37326.999999999985	PAFAH1B1
ENSG00000007171	NOS2_HUMAN	371317.99999999994	NOS2
ENSG00000007174	E7EP17_HUMAN J3QLM9_HUMAN J3QQK8_HUMAN K7EMX3_HUMAN K7EP21_HUMAN DYH9_HUMAN		DNAH9
ENSG00000007202	J3QLM5_HUMAN K7EMT1_HUMAN K7EQ86_HUMAN K7EQR3_HUMAN Q08E86_HUMAN K0100_HUMAN	24489.000000000022	KIAA0100
ENSG00000007216	F5GWV6_HUMAN J3QLA5_HUMAN J3QR70_HUMAN S13A2_HUMAN	31015.000000000025	SLC13A2
ENSG00000007237	A0A0A0MS68_HUMAN J3KS47_HUMAN J3KTB1_HUMAN J3QLH8_HUMAN J3QR80_HUMAN J3QS26_HUMAN GAS7_HUMAN	15310.00000000001	GAS7
ENSG00000007255	TPC6A_HUMAN	287943.0000000001	TRAPPC6A
ENSG00000007264	K7EKC4_HUMAN K7EKS5_HUMAN K7ENL8_HUMAN K7EPP2_HUMAN K7EQV3_HUMAN K7EQY5_HUMAN K7ERY4_HUMAN K7ES68_HUMAN MATK_HUMAN	33670.00000000002	MATK
ENSG00000007306	A0A0A0MTT6_HUMAN CEAM7_HUMAN	24159.999999999978	CEACAM7
ENSG00000007312	CD79B_HUMAN	34365.00000000001	CD79B
ENSG00000007314	SCN4A_HUMAN	3615.0000000000005	SCN4A
ENSG00000007341	H0Y7M0_HUMAN Q5TEH7_HUMAN ST7L_HUMAN	34680.00000000005	ST7L
ENSG00000007350	A2ID95_HUMAN F8WF97_HUMAN H0Y808_HUMAN TKTL1_HUMAN	97307.99999999981	TKTL1
ENSG00000007372	A0A1W2PNS7_HUMAN A0A1W2PP27_HUMAN A0A1W2PP89_HUMAN A0A1W2PPG3_HUMAN A0A1W2PPH0_HUMAN A0A1W2PPJ2_HUMAN A0A1W2PPM5_HUMAN A0A1W2PPN2_HUMAN A0A1W2PQ31_HUMAN A0A1W2PQA8_HUMAN A0A1W2PQG3_HUMAN A0A1W2PQG7_HUMAN A0A1W2PQJ8_HUMAN A0A1W2PQL7_HUMAN A0A1W2PQM7_HUMAN A0A1W2PQW3_HUMAN A0A1W2PR58_HUMAN A0A1W2PRA4_HUMAN A0A1W2PRA8_HUMAN A0A1W2PRG3_HUMAN A0A1W2PRH6_HUMAN A0A1W2PRS6_HUMAN A0A1W2PRU4_HUMAN A0A1W2PRW7_HUMAN A0A1W2PS91_HUMAN A0A1W2PSA8_HUMAN A0A1W2PSB5_HUMAN A0A1X7SBT0_HUMAN B1B1I8_HUMAN B1B1I9_HUMAN B1B1J0_HUMAN D1KF47_HUMAN E9PKM0_HUMAN PAX6_HUMAN	3423.999999999996	PAX6
ENSG00000007376	H3BMZ6_HUMAN H3BQN8_HUMAN H3BRG3_HUMAN H3BS55_HUMAN H3BSG4_HUMAN H3BU91_HUMAN H3BUN6_HUMAN H3BVD0_HUMAN RUSD1_HUMAN	33283.99999999997	RPUSD1
ENSG00000007384	A0A1B0GXG1_HUMAN B8ZZ07_HUMAN F8WBS4_HUMAN F8WCF7_HUMAN H0Y6L9_HUMAN RHDF1_HUMAN	40494.99999999998	RHBDF1
