KX341966.1 18114 0 KX341966.1 Gmelinoides fasciatus mitochondrion, complete genome
NC_037383.1 16503 0 NC_037383.1 Chelodina expansa mitochondrion, complete genome
NC_037382.1 17358 0 NC_037382.1 Oreolalax multipunctatus voucher CIB2013wb091 mitochondrion, complete genome
NC_037381.1 15616 0 NC_037381.1 Toxodera hauseri mitochondrion, complete genome
NC_037380.1 17702 0 NC_037380.1 Phyllobates terribilis mitochondrion, complete genome
NC_037379.1 16751 0 NC_037379.1 Hyloxalus subpunctatus mitochondrion, complete genome
NC_037378.1 18005 0 NC_037378.1 Melanophryniscus moreirae mitochondrion, complete genome
NC_037377.1 16881 0 NC_037377.1 Scaphiopus holbrookii mitochondrion, complete genome
NC_037376.1 15862 0 NC_037376.1 Notopteryx soror mitochondrion, complete genome
NC_037375.1 15067 0 NC_037375.1 Neolethaeus assamensis mitochondrion, complete genome
NC_037374.1 15614 0 NC_037374.1 Dalsira scabrata mitochondrion, complete genome
NC_037373.1 15744 0 NC_037373.1 Metatropis longirostris mitochondrion, complete genome
NC_037372.1 15303 0 NC_037372.1 Macrosaldula sp. PJ-2017 mitochondrion, complete genome
NC_037371.1 16366 0 NC_037371.1 Nabicula flavomarginata mitochondrion, complete genome
NC_037370.1 15168 0 NC_037370.1 Aphelocheirus jendeki mitochondrion, complete genome
NC_037369.1 15846 0 NC_037369.1 Acanthaspis ruficeps mitochondrion, complete genome
NC_037368.1 15573 0 NC_037368.1 Melophagus ovinus mitochondrion, complete genome
NC_037359.1 17886 0 NC_037359.1 Montipora aequituberculata mitochondrion, complete genome
MG602719.1 80736 0 MG602719.1 Cantharellus lutescens isolate s144 mitochondrion, complete genome
MG602718.1 56811 0 MG602718.1 Cantharellus cibarius isolate s28 mitochondrion, complete genome
MG602717.1 56786 0 MG602717.1 Cantharellus cibarius isolate s75 mitochondrion, complete genome
MG602716.1 73562 0 MG602716.1 Cantharellus appalachiensis isolate s38 mitochondrion, complete genome
MG519331.1 101111 0 MG519331.1 UNVERIFIED: Laetiporus sulphureus mitochondrion sequence
MF198253.1 16146 0 MF198253.1 Suwallia teleckojensis mitochondrion, complete genome
MG922856.1 36396 0 MG922856.1 Fucus vesiculosus var. spiralis voucher UC 2050586 mitochondrion, complete genome
NC_036219.1 13934 0 NC_036219.1 Moniezia expansa strain Guangxi20151207-2 mitochondrion, complete genome
NC_025757.1 15349 0 NC_025757.1 Papilio helenus mitochondrion, complete genome
NC_015641.1 18875 0 NC_015641.1 Euphyllia ancora mitochondrion, complete genome
NC_008159.1 21376 0 NC_008159.1 Ricordea florida mitochondrion, complete genome
MG912997.1 16504 0 MG912997.1 Paroster microsturtensis mitochondrion, complete genome
MG912996.1 16663 0 MG912996.1 Paroster mesosturtensis mitochondrion, complete genome
MG912995.1 16676 0 MG912995.1 Paroster macrosturtensis mitochondrion, complete genome
MG912994.1 16868 0 MG912994.1 Limbodessus palmulaoides mitochondrion, complete genome
KY069970.1 15638 0 KY069970.1 Urostylis flavoannulata mitochondrion, complete genome
KY069969.1 16477 0 KY069969.1 Reduvius gregoryi mitochondrion, complete genome
KY069968.1 15743 0 KY069968.1 Canthesancus helluo mitochondrion, complete genome
KY069967.1 15660 0 KY069967.1 Scipinia horrida mitochondrion, complete genome
KY069966.1 15707 0 KY069966.1 Rhynocoris incertis mitochondrion, complete genome
KY069965.1 15565 0 KY069965.1 Tessaratoma papillosa mitochondrion, complete genome
KY069964.1 15233 0 KY069964.1 Carbula sinica mitochondrion, complete genome
KY069963.1 15682 0 KY069963.1 Saldula burmanica mitochondrion, complete genome
KY069962.1 15422 0 KY069962.1 Cyclopelta parva mitochondrion, complete genome
KY069961.1 15904 0 KY069961.1 Velinus nodipes mitochondrion, complete genome
KY069960.1 15312 0 KY069960.1 Tapeinus singularis mitochondrion, complete genome
KY069959.1 15436 0 KY069959.1 Inara alboguttata mitochondrion, complete genome
KY069958.1 15686 0 KY069958.1 Acanthaspis cincticrus mitochondrion, complete genome
KY069957.1 15335 0 KY069957.1 Carcinochelis bannaensis mitochondrion, complete genome
KY069956.1 15228 0 KY069956.1 Amblythyreus gestroi mitochondrion, complete genome
MG727892.1 16656 0 MG727892.1 Dentex dentex mitochondrion, complete genome
MF953479.1 17864 0 MF953479.1 UNVERIFIED: Oreolalax jingdongensis mitochondrion sequence
MF100157.1 16988 0 MF100157.1 UNVERIFIED: Cyrtodactylus peguensis mitochondrion sequence
MG748599.1 15294 0 MG748599.1 UNVERIFIED: Lepidoptera sp. 1 TS-2018 mitochondrion sequence
MG570047.1 14303 0 MG570047.1 Trichobilharzia szidati mitochondrion, complete genome
MG699124.1 47279 0 MG699124.1 UNVERIFIED: Lecanora rugosella mitochondrion sequence
MG979470.1 15149 0 MG979470.1 Potamopyrgus antipodarum isolate Ianthe_2_2x mitochondrion, complete genome
MG979469.1 15145 0 MG979469.1 Potamopyrgus antipodarum isolate Waikaremoana_4_3x mitochondrion, complete genome
MG979468.1 15149 0 MG979468.1 Potamopyrgus antipodarum isolate Alexandrina_Yellow_2x mitochondrion, complete genome
MG979467.1 15141 0 MG979467.1 Potamopyrgus antipodarum isolate Kaniere_3x mitochondrion, complete genome
MF770485.1 18676 0 MF770485.1 UNVERIFIED: Oreolalax rhodostigmatus mitochondrion sequence
MH094667.1 16578 0 MH094667.1 Schizothorax taliensis mitochondrion, complete genome
KY827330.1 15427 0 KY827330.1 Paraona staudingeri strain Guanshan mitochondrion, complete genome
KY827037.1 17102 0 KY827037.1 Streptopelia orientalis mitochondrion, complete genome
KY827036.1 17160 0 KY827036.1 Streptopelia decaocto mitochondrion, complete genome
KY800518.1 15472 0 KY800518.1 Aglaomorpha histrio mitochondrion, complete genome
KX686496.1 16565 0 KX686496.1 Macaca mulatta vestita mitochondrion, complete genome
KY126309.1 105340 0 KY126309.1 Physcomitrella patens mitochondrion, complete genome
KX082660.1 17870 0 KX082660.1 Garrulax albogularis mitochondrion, complete genome
CP028778.1 51340 0 CP028778.1 Pichia kudriavzevii strain CBS573 mitochondrion, complete genome
MF563963.1 18064 0 MF563963.1 Gonioctena intermedia mitochondrion, complete genome
MF563962.1 18293 0 MF563962.1 Gonioctena intermedia mitochondrion, complete genome
MG557850.1 15970 0 MG557850.1 Incisitermes minor mitochondrion, complete genome
MG736621.1 640906 0 MG736621.1 Citrus sinensis mitochondrion, complete genome
MF673131.1 16729 0 MF673131.1 UNVERIFIED: Microhyla fissipes mitochondrion sequence
MH102403.1 16805 0 MH102403.1 Ailuropoda melanoleuca mitochondrion, complete genome
MG558461.1 16592 0 MG558461.1 Psammomys obesus mitochondrion, complete genome
MH161386.1 16567 0 MH161386.1 Homo sapiens haplogroup L1b1a mitochondrion, complete genome
MH161387.1 16562 0 MH161387.1 Homo sapiens haplogroup B2 mitochondrion, complete genome
MH118552.1 16569 0 MH118552.1 Homo sapiens haplogroup T2b mitochondrion, complete genome
MH142589.1 16570 0 MH142589.1 Homo sapiens haplogroup W3a1 mitochondrion, complete genome
MH178741.1 16569 0 MH178741.1 Homo sapiens haplogroup U5a1f1a1 mitochondrion, complete genome
MH166336.1 16570 0 MH166336.1 Homo sapiens haplogroup H mitochondrion, complete genome
MH161389.1 16567 0 MH161389.1 Homo sapiens haplogroup M20 mitochondrion, complete genome
MH118550.1 16570 0 MH118550.1 Homo sapiens haplogroup H mitochondrion, complete genome
MH158249.1 16567 0 MH158249.1 Homo sapiens haplogroup U5a1b1h mitochondrion, complete genome
MH102415.1 16569 0 MH102415.1 Homo sapiens haplogroup T1a1 mitochondrion, complete genome
MH161385.1 16569 0 MH161385.1 Homo sapiens haplogroup J1c5 mitochondrion, complete genome
MH158239.1 16569 0 MH158239.1 Homo sapiens haplogroup U2e1e mitochondrion, complete genome
MH118551.1 16569 0 MH118551.1 Homo sapiens haplogroup z1a1a mitochondrion, complete genome
MH057392.1 16569 0 MH057392.1 Homo sapiens haplogroup U5b1b1a mitochondrion, complete genome
MH158251.1 16574 0 MH158251.1 Homo sapiens haplogroup I2 mitochondrion, complete genome
MH161390.1 16569 0 MH161390.1 Homo sapiens haplogroup U5a2e mitochondrion, complete genome
MH087473.1 16571 0 MH087473.1 Homo sapiens haplogroup H13a1a1d mitochondrion, complete genome
MH135324.1 16570 0 MH135324.1 Homo sapiens haplogroup T2b23 mitochondrion, complete genome
MH168104.1 16576 0 MH168104.1 Homo sapiens haplogroup I5a2 mitochondrion, complete genome
MH087470.1 16570 0 MH087470.1 Homo sapiens haplogroup T2b17a mitochondrion, complete genome
MH161391.1 16571 0 MH161391.1 Homo sapiens haplogroup H1t mitochondrion, complete genome
MH087468.1 16576 0 MH087468.1 Homo sapiens haplogroup I1b mitochondrion, complete genome
MH158238.1 16569 0 MH158238.1 Homo sapiens haplogroup K2b1a1a mitochondrion, complete genome
MH142590.1 16569 0 MH142590.1 Homo sapiens haplogroup H64 mitochondrion, complete genome
MH087474.1 16573 0 MH087474.1 Homo sapiens haplogroup I2d mitochondrion, complete genome
MH158250.1 16570 0 MH158250.1 Homo sapiens haplogroup U8a1a1 mitochondrion, complete genome
MG736083.1 16486 0 MG736083.1 Pagellus acarne mitochondrion, complete genome
MF680544.1 16652 0 MF680544.1 Salvelinus malma mitochondrion, complete genome
KY038053.1 14268 0 KY038053.1 Gyge ovalis mitochondrion, complete genome
NR_136399.1 6020 0 NR_136399.1 Homo sapiens insulin degrading enzyme (IDE), transcript variant 8, non-coding RNA
NM_001322796.1 6060 0 NM_001322796.1 Homo sapiens insulin degrading enzyme (IDE), transcript variant 6, mRNA
NM_001322795.1 6078 0 NM_001322795.1 Homo sapiens insulin degrading enzyme (IDE), transcript variant 5, mRNA
NM_001322797.1 4480 0 NM_001322797.1 Homo sapiens insulin degrading enzyme (IDE), transcript variant 7, mRNA
NM_001322794.1 5779 0 NM_001322794.1 Homo sapiens insulin degrading enzyme (IDE), transcript variant 4, mRNA
NM_001322793.1 5896 0 NM_001322793.1 Homo sapiens insulin degrading enzyme (IDE), transcript variant 3, mRNA
NM_001151.3 4420 0 NM_001151.3 Homo sapiens solute carrier family 25 member 4 (SLC25A4), mRNA
NW_020185340.1 3256781 0 NW_020185340.1 Sordaria macrospora k-hell, WGS project CABT00000000 data, contig 2.1, whole genome shotgun sequence
CP021330.1 3380026 0 CP021330.1 Maritalea myrionectae strain HL2708#5 chromosome, complete genome
MF568544.1 15201 0 MF568544.1 Endotricha consocia mitochondrion, complete genome
MF143597.1 16828 0 MF143597.1 Sus scrofa breed Kele mitochondrion, complete genome
MF957173.1 15620 0 MF957173.1 Sabethes glaucodaemon mitochondrion, complete genome
MF957172.1 15609 0 MF957172.1 Sabethes chloropterus mitochondrion, complete genome
MF957171.1 15911 0 MF957171.1 Sabethes belisarioi mitochondrion, complete genome
MG770607.1 316586 0 MG770607.1 Helianthus annuus mitochondrion, complete genome
MG523272.1 16602 0 MG523272.1 Onychostoma sp. n. FH-2018 mitochondrion, complete genome
MG822727.1 16528 0 MG822727.1 UNVERIFIED: Hippocampus fuscus mitochondrion sequence
MG489916.1 14999 0 MG489916.1 Diaphorina citri mitochondrion, complete genome
MG257490.1 585493 0 MG257490.1 UNVERIFIED: Phoenix dactylifera mitochondrion sequence
MG851822.1 60062 0 MG851822.1 UNVERIFIED: Cladonia stipitata mitochondrion sequence
MG518617.1 15322 0 MG518617.1 Cryptocercus meridianus mitochondrion, complete genome
MG515171.1 16843 0 MG515171.1 Abalistes stellaris mitochondrion, complete genome
NC_036878.1 16670 0 NC_036878.1 Nodularia douglasiae mitochondrion, complete genome
NC_036512.1 16586 0 NC_036512.1 Tor douronensis mitochondrion, complete genome
NC_036511.1 16581 0 NC_036511.1 Tor tambra mitochondrion, complete genome
KY889142.1 617195 0 KY889142.1 Nymphaea colorata mitochondrion, complete genome
MF597774.1 16569 0 MF597774.1 Homo sapiens isolate CAP-M2 mitochondrion, complete genome
CM008198.1 16340 0 CM008198.1 Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford mitochondrion, complete sequence, whole genome shotgun sequence
NC_031962.1 27817 0 NC_031962.1 Blastocystis sp. subtype 4 strain DMP/10-212 mitochondrion, complete genome
CM003499.1 16589 0 CM003499.1 Maylandia zebra isolate #2_Kocher and #3_Kocher ecotype Mazinzi reef mitochondrion, complete sequence, whole genome shotgun sequence
NC_026111.1 15767 0 NC_026111.1 Nodularia douglasiae mitochondrion, complete genome
KJ880045.1 16586 0 KJ880045.1 Tor douronensis mitochondrion, complete genome
KJ880044.1 16581 0 KJ880044.1 Tor tambra mitochondrion, complete genome
NC_018045.1 16601 0 NC_018045.1 Lateolabrax maculatus mitochondrion, complete genome
NC_006692.1 1347793 0 NC_006692.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 7 sequence
NC_006691.1 1438950 0 NC_006691.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 6 sequence
NC_006687.1 1507550 0 NC_006687.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 5 sequence
NC_006686.1 1783081 0 NC_006686.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 4 sequence
NC_006685.1 2105742 0 NC_006685.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 3 sequence
NC_006683.1 762694 0 NC_006683.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 14 sequence
NC_006681.1 906719 0 NC_006681.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 12 sequence
NC_006680.1 1019846 0 NC_006680.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 11 sequence
NC_006679.1 1085720 0 NC_006679.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 10 sequence
NC_006670.1 2300533 0 NC_006670.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 1, complete sequence
MF409249.1 16411 0 MF409249.1 Balaenoptera borealis isolate E91 mitochondrion, complete genome
MF409248.1 16411 0 MF409248.1 Balaenoptera borealis isolate D27 mitochondrion, complete genome
MF409247.1 16386 0 MF409247.1 Eubalaena glacialis mitochondrion, complete genome
MF409246.1 16391 0 MF409246.1 Megaptera novaeangliae mitochondrion, complete genome
MF409245.1 16412 0 MF409245.1 Eschrichtius robustus voucher UAM:Mamm:99577 mitochondrion, complete genome
MF409244.1 16413 0 MF409244.1 Eschrichtius robustus voucher UAM:Mamm:117578 mitochondrion, complete genome
MF409243.1 16401 0 MF409243.1 Balaenoptera physalus mitochondrion, complete genome
MF409242.1 16403 0 MF409242.1 Balaenoptera musculus mitochondrion, complete genome
NC_001148.4 948066 0 NC_001148.4 Saccharomyces cerevisiae S288C chromosome XVI, complete sequence
NC_001147.6 1091291 0 NC_001147.6 Saccharomyces cerevisiae S288C chromosome XV, complete sequence
NC_001145.3 924431 0 NC_001145.3 Saccharomyces cerevisiae S288C chromosome XIII, complete sequence
NC_001144.5 1078177 0 NC_001144.5 Saccharomyces cerevisiae S288C chromosome XII, complete sequence
NC_001143.9 666816 0 NC_001143.9 Saccharomyces cerevisiae S288C chromosome XI, complete sequence
NC_001142.9 745751 0 NC_001142.9 Saccharomyces cerevisiae S288C chromosome X, complete sequence
NC_001137.3 576874 0 NC_001137.3 Saccharomyces cerevisiae S288C chromosome V, complete sequence
NC_001136.10 1531933 0 NC_001136.10 Saccharomyces cerevisiae S288C chromosome IV, complete sequence
NC_001133.9 230218 0 NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence
CP021098.1 51126 0 CP021098.1 Pichia kudriavzevii strain SJP mitochondrion, complete genome
MH142591.1 16569 0 MH142591.1 Homo sapiens haplotype H1b1e mitochondrion, complete genome
MG783568.1 146712 0 MG783568.1 Termitomyces sp. T132 mitochondrion, complete genome
MF997424.1 103605 0 MF997424.1 Halamphora sp. CSP-2018a mitochondrion, complete genome
MF997423.1 42867 0 MF997423.1 Surirella sp. mitochondrion, complete genome
MF997422.1 36252 0 MF997422.1 Nitzschia alba mitochondrion, complete genome
MF997421.1 32777 0 MF997421.1 Melosira undulata mitochondrion, complete genome
MF997420.1 44653 0 MF997420.1 Halamphora coffeaeformis mitochondrion, complete genome
MF997419.1 36078 0 MF997419.1 Entomoneis sp. mitochondrion, complete genome
CP022335.1 24923 0 CP022335.1 Cryptococcus neoformans var. grubii strain KN99 mitochondrion, complete genome
NC_001139.9 1090940 0 NC_001139.9 Saccharomyces cerevisiae S288C chromosome VII, complete sequence
NC_001135.5 316620 0 NC_001135.5 Saccharomyces cerevisiae S288C chromosome III, complete sequence
NC_001134.8 813184 0 NC_001134.8 Saccharomyces cerevisiae S288C chromosome II, complete sequence
NM_001181549.1 1014 0 NM_001181549.1 Saccharomyces cerevisiae S288C SUN family protein NCA3 (NCA3), partial mRNA
AF304200.1 15978 0 AF304200.1 Sus scrofa breed Chinese Meishan mitochondrion, partial genome
NC_037304.1 367808 0 NC_037304.1 Arabidopsis thaliana ecotype Col-0 mitochondrion, complete genome
MF521835.1 15742 0 MF521835.1 Callipogon relictus voucher NHC-A-2016-120 mitochondrion, complete genome
MG772559.1 15966 0 MG772559.1 Marsupenaeus japonicus mitochondrion, complete genome
MG551591.1 16676 0 MG551591.1 Salmo ischchan isolate 30 mitochondrion, complete genome
MG551590.1 16677 0 MG551590.1 Salmo ischchan isolate 26 mitochondrion, complete genome
MG551589.1 16677 0 MG551589.1 Salmo ischchan gegarkuni isolate sevan4 mitochondrion, complete genome
KY782249.1 16573 0 KY782249.1 Homo sapiens isolate 10712 mitochondrion, complete genome
KY782248.1 16570 0 KY782248.1 Homo sapiens isolate 10710 mitochondrion, complete genome
KY782247.1 16569 0 KY782247.1 Homo sapiens isolate 10709 mitochondrion, complete genome
KY782246.1 16569 0 KY782246.1 Homo sapiens isolate 10706 mitochondrion, complete genome
KY782245.1 16570 0 KY782245.1 Homo sapiens isolate 10704 mitochondrion, complete genome
KY782244.1 16569 0 KY782244.1 Homo sapiens isolate 10703 mitochondrion, complete genome
KY782243.1 16570 0 KY782243.1 Homo sapiens isolate 10701 mitochondrion, complete genome
KY782242.1 16569 0 KY782242.1 Homo sapiens isolate 10700 mitochondrion, complete genome
KY782241.1 16569 0 KY782241.1 Homo sapiens isolate 10698 mitochondrion, complete genome
KY782240.1 16569 0 KY782240.1 Homo sapiens isolate 10697 mitochondrion, complete genome
KY782239.1 16568 0 KY782239.1 Homo sapiens isolate 10695 mitochondrion, complete genome
KY782238.1 16570 0 KY782238.1 Homo sapiens isolate 10694 mitochondrion, complete genome
KY782237.1 16574 0 KY782237.1 Homo sapiens isolate 10692 mitochondrion, complete genome
KY782236.1 16569 0 KY782236.1 Homo sapiens isolate 10691 mitochondrion, complete genome
KY782235.1 16569 0 KY782235.1 Homo sapiens isolate 10688 mitochondrion, complete genome
KY782234.1 16569 0 KY782234.1 Homo sapiens isolate 10686 mitochondrion, complete genome
KY782233.1 16572 0 KY782233.1 Homo sapiens isolate 10685 mitochondrion, complete genome
KY782232.1 16567 0 KY782232.1 Homo sapiens isolate 10683 mitochondrion, complete genome
KY782231.1 16569 0 KY782231.1 Homo sapiens isolate 10682 mitochondrion, complete genome
KY782230.1 16571 0 KY782230.1 Homo sapiens isolate 10680 mitochondrion, complete genome
KY782229.1 16569 0 KY782229.1 Homo sapiens isolate 10679 mitochondrion, complete genome
KY782228.1 16569 0 KY782228.1 Homo sapiens isolate 10676 mitochondrion, complete genome
KY782227.1 16571 0 KY782227.1 Homo sapiens isolate 10675 mitochondrion, complete genome
KY782226.1 16569 0 KY782226.1 Homo sapiens isolate 10672 mitochondrion, complete genome
KY782225.1 16576 0 KY782225.1 Homo sapiens isolate 10670 mitochondrion, complete genome
KY782224.1 16571 0 KY782224.1 Homo sapiens isolate 10664 mitochondrion, complete genome
KY782223.1 16569 0 KY782223.1 Homo sapiens isolate 10662 mitochondrion, complete genome
KY782222.1 16570 0 KY782222.1 Homo sapiens isolate 10659 mitochondrion, complete genome
KY782221.1 16570 0 KY782221.1 Homo sapiens isolate 10657 mitochondrion, complete genome
KY782220.1 16569 0 KY782220.1 Homo sapiens isolate 10648 mitochondrion, complete genome
KY782219.1 16568 0 KY782219.1 Homo sapiens isolate 10645 mitochondrion, complete genome
KY782218.1 16570 0 KY782218.1 Homo sapiens isolate 10643 mitochondrion, complete genome
KY782217.1 16569 0 KY782217.1 Homo sapiens isolate 10642 mitochondrion, complete genome
KY782216.1 16569 0 KY782216.1 Homo sapiens isolate 10640 mitochondrion, complete genome
KY782215.1 16570 0 KY782215.1 Homo sapiens isolate 10639 mitochondrion, complete genome
KY782214.1 16570 0 KY782214.1 Homo sapiens isolate 10637 mitochondrion, complete genome
KY782213.1 16570 0 KY782213.1 Homo sapiens isolate 10636 mitochondrion, complete genome
KY782212.1 16570 0 KY782212.1 Homo sapiens isolate 10634 mitochondrion, complete genome
KY782211.1 16570 0 KY782211.1 Homo sapiens isolate 10633 mitochondrion, complete genome
KY782210.1 16571 0 KY782210.1 Homo sapiens isolate 10631 mitochondrion, complete genome
KY782209.1 16569 0 KY782209.1 Homo sapiens isolate 10630 mitochondrion, complete genome
KY782208.1 16570 0 KY782208.1 Homo sapiens isolate 10627 mitochondrion, complete genome
KY782207.1 16569 0 KY782207.1 Homo sapiens isolate 10626 mitochondrion, complete genome
KY782206.1 16570 0 KY782206.1 Homo sapiens isolate 10624 mitochondrion, complete genome
KY782205.1 16569 0 KY782205.1 Homo sapiens isolate 10623 mitochondrion, complete genome
KY782204.1 16567 0 KY782204.1 Homo sapiens isolate 10621 mitochondrion, complete genome
KY782203.1 16571 0 KY782203.1 Homo sapiens isolate 10620 mitochondrion, complete genome
KY782202.1 16570 0 KY782202.1 Homo sapiens isolate 10618 mitochondrion, complete genome
KY782201.1 16573 0 KY782201.1 Homo sapiens isolate 10617 mitochondrion, complete genome
