name,type,path,lines,code_blocks,metadata,structure,code_quality,content_depth,uniqueness,total,grade,recommendation,duplicate_of,issues
deep-learning-bio,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/deep-learning-bio.md,340,20,9,8,14,20,3,54,D,DELETE_DUPLICATE,bio-applied-deep-learning-for-biology,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
machine-learning-bio,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/machine-learning-bio.md,340,20,9,8,14,20,3,54,D,DELETE_DUPLICATE,bio-applied-machine-learning-for-biology,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
protein-design-workflows,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/protein-design-workflows.md,254,16,9,8,14,20,3,54,D,DELETE_DUPLICATE,ai-science-alphafold-protein-design,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
tf-footprinting,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/tf-footprinting.md,257,14,9,8,14,20,3,54,D,DELETE_DUPLICATE,bio-applied-tf-footprinting,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
bio-applied-virtual-screening,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-virtual-screening/SKILL.md,112,8,11,8,12,9,15,55,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs|is_stub
biostatistics-r,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/biostatistics-r.md,299,22,11,8,13,20,3,55,D,DELETE_DUPLICATE,foundations-biostatistics-fundamentals,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
complexity-sorting-searching,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/complexity-sorting-searching.md,339,28,11,8,13,20,3,55,D,DELETE_DUPLICATE,algo-complexity-analysis,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
diffusion-models,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/diffusion-models.md,150,12,9,10,14,19,3,55,D,DELETE_DUPLICATE,ai-science-diffusion-generative-models,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
gwas-population-genetics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/gwas-population-genetics.md,153,12,11,8,14,19,3,55,D,DELETE_DUPLICATE,bio-applied-gwas,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
llm-finetuning,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/llm-finetuning.md,161,12,11,8,14,19,3,55,D,DELETE_DUPLICATE,ai-science-llm-finetuning,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
vision-rag,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/vision-rag.md,122,10,11,8,14,19,3,55,D,DELETE_DUPLICATE,ai-science-vision-rag,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
alphafold-protein-design,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/alphafold-protein-design.md,229,16,11,8,14,20,3,56,D,DELETE_DUPLICATE,ai-science-alphafold-protein-design,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
biochemistry-enzymology,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/biochemistry-enzymology.md,290,20,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-biochemistry,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
copy-number-analysis,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/copy-number-analysis.md,223,16,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-copy-number-analysis,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
data-visualization-bio,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/data-visualization-bio.md,331,28,11,8,14,20,3,56,D,DELETE_DUPLICATE,python-bio-data-visualization,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
genetic-engineering-insilico,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/genetic-engineering-insilico.md,301,18,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-genetic-engineering-in-silico,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
genetics-computational,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/genetics-computational.md,322,18,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-core-computational-genetics,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
genome-assembly,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/genome-assembly.md,274,18,9,10,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-assembly-sv,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
ml-deep-learning-bio,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/ml-deep-learning-bio.md,315,20,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-deep-learning-for-biology,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
multi-omics-integration,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/multi-omics-integration.md,200,16,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-sc-integration,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
ngs-variant-calling,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/ngs-variant-calling.md,290,24,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-variant-calling-and-snp-analysis,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
phylogenetics-evolution,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/phylogenetics-evolution.md,230,14,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-core-phylogenetics,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
population-genetics-evolution,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/population-genetics-evolution.md,280,18,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-population-genetics,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
proteomics-analysis,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/proteomics-analysis.md,274,18,9,10,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-proteomics,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
sequence-alignment,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/sequence-alignment.md,350,22,11,8,14,20,3,56,D,DELETE_DUPLICATE,algo-sequence-alignment,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
tf-footprinting-atac,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/tf-footprinting-atac.md,232,14,11,8,14,20,3,56,D,DELETE_DUPLICATE,bio-applied-tf-footprinting,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
diffusion-generative,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/diffusion-generative.md,125,12,11,10,14,19,3,57,D,DELETE_DUPLICATE,ai-science-diffusion-generative-models,no_tool_type|no_primary_tool|no_version_compat|flat_format|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
motif-discovery,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/motif-discovery.md,161,14,11,10,14,19,3,57,D,DELETE_DUPLICATE,bio-core-motif-discovery,no_tool_type|no_primary_tool|no_version_compat|flat_format|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
python-bio-strings,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-strings/SKILL.md,410,40,11,3,11,17,15,57,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-differential-binding,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-differential-binding/SKILL.md,332,10,11,8,11,13,15,58,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
proteomics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/proteomics.md,239,18,11,10,14,20,3,58,D,DELETE_DUPLICATE,bio-applied-proteomics,no_tool_type|no_primary_tool|no_version_compat|flat_format|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
foundations-biostatistics-fundamentals,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/foundations-biostatistics-fundamentals/SKILL.md,305,14,11,6,7,20,15,59,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
foundations-r-hypothesis-testing-and-nonparametrics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/foundations-r-hypothesis-testing-and-nonparametrics/SKILL.md,361,36,11,6,7,20,15,59,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
foundations-r-regression-correlation-and-diagnostics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/foundations-r-regression-correlation-and-diagnostics/SKILL.md,353,42,11,6,7,20,15,59,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
algo-kmp-algorithm,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/algo-kmp-algorithm/SKILL.md,489,24,13,3,14,15,15,60,C,FIX_MAJOR,,no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
bio-applied-functional-annotation,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-functional-annotation/SKILL.md,307,14,11,8,11,15,15,60,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-qiime2-16s,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-qiime2-16s/SKILL.md,313,14,11,8,11,15,15,60,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
python-bio-classes,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-classes/SKILL.md,403,16,11,3,14,17,15,60,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
python-bio-iterators,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-iterators/SKILL.md,455,42,11,3,14,17,15,60,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
python-bio-oop,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-oop/SKILL.md,380,10,11,3,14,17,15,60,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
bio-applied-bayesian-statistics-python,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-bayesian-statistics-python/SKILL.md,294,12,11,8,7,20,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
bio-applied-docking,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-docking/SKILL.md,308,12,11,3,14,18,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
bio-applied-molecular-gnn,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-molecular-gnn/SKILL.md,138,8,11,8,13,14,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks
bio-applied-population-genetics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-population-genetics/SKILL.md,347,18,11,5,14,16,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_pitfalls|no_goal_approach|untagged_code_blocks
bio-applied-proteomics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-proteomics/SKILL.md,285,12,11,5,14,16,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_pitfalls|no_goal_approach|untagged_code_blocks
bio-applied-qsar-modeling,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-qsar-modeling/SKILL.md,128,10,11,8,11,16,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-rdkit-basics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-rdkit-basics/SKILL.md,135,10,11,8,11,16,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-single-cell-scanpy,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-single-cell-scanpy/SKILL.md,382,30,13,6,7,20,15,61,C,FIX_MAJOR,,no_primary_tool|no_version_compat|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
biopython-databases,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/biopython-databases.md,286,26,9,8,13,20,11,61,C,FIX_MAJOR,gold:biopython,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|near_gold_duplicate
foundations-r-fundamentals,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/foundations-r-fundamentals/SKILL.md,374,32,13,6,7,20,15,61,C,FIX_MAJOR,,no_primary_tool|no_version_compat|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
population-structure-qc,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/population-structure-qc.md,178,12,9,8,14,19,11,61,C,FIX_MAJOR,gold:bio-population-genetics-population-structure,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|near_gold_duplicate
python-bio-data-types,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-data-types/SKILL.md,388,46,11,6,12,17,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
python-bio-data-visualization,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-data-visualization/SKILL.md,341,14,11,6,11,18,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
python-bio-dictionaries,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-dictionaries/SKILL.md,381,28,11,3,14,18,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
python-bio-numpy,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-numpy/SKILL.md,413,52,11,3,14,18,15,61,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
